,ProdDate,Actual_kWh,Production1,Production2,Feed,Weekday,BRP
273,2019-10-01,145518.0,8782.824395,9619.415082,8782.824395,Tuesday,RP
274,2019-10-02,182100.0,14680.26818,16395.29867,14680.26818,Wednesday,RP
275,2019-10-03,131731.0,7738.7123065,8643.075946,7738.7123065,Thursday,RP
276,2019-10-04,139224.0,8137.6292405,8964.772942,8137.6292405,Friday,RP
277,2019-10-05,172187.0,10898.523245,13555.14162,10898.523245,Saturday,RP
278,2019-10-06,56242.0,547.5070736499999,,547.5070736499999,Sunday,RP
279,2019-10-07,183849.0,13136.388595,13783.479,13136.388595,Monday,RP
280,2019-10-08,151153.0,10374.668455,11283.01598,10374.668455,Tuesday,RP
281,2019-10-09,166882.0,12925.838855,14173.78969,12925.838855,Wednesday,RP
282,2019-10-10,150805.0,9337.8640465,10522.64126,9337.8640465,Thursday,RP
283,2019-10-11,202433.0,17886.656635,20154.42931,17886.656635,Friday,RP
284,2019-10-12,165764.0,8475.2326685,10853.33678,8475.2326685,Saturday,RP
285,2019-10-13,43703.0,923.13565405,,923.13565405,Sunday,RP
286,2019-10-14,76945.0,86.250717315,1032.57987,86.250717315,Monday,RP
287,2019-10-15,54559.0,713.63727715,0.0,713.63727715,Tuesday,RP
288,2019-10-16,189721.0,15162.553305,16199.58092,15162.553305,Wednesday,RP
289,2019-10-17,144751.0,10041.209295,10986.06491,10041.209295,Thursday,RP
290,2019-10-18,196931.0,15933.051265,17667.46407,15933.051265,Friday,RP
291,2019-10-19,205470.0,14174.55491,17407.63188,14174.55491,Saturday,RP
292,2019-10-20,47287.0,963.56829785,,963.56829785,Sunday,RP
293,2019-10-21,190724.0,13718.05973,16265.94498,13718.05973,Monday,RP
294,2019-10-22,170269.0,12555.754505,12443.82472,12555.754505,Tuesday,RP
295,2019-10-23,193909.0,16281.878625,18128.63808,16281.878625,Wednesday,RP
296,2019-10-24,142098.0,9084.6602265,10023.22355,9084.6602265,Thursday,RP
297,2019-10-25,158102.0,10168.89789,12203.11439,10168.89789,Friday,RP
298,2019-10-26,164975.0,9137.4586225,11052.42897,9137.4586225,Saturday,RP
299,2019-10-27,43703.0,4.731804181999999,,4.731804181999999,Sunday,RP
300,2019-10-28,132693.0,0.0006,16923.96157,0.0006,Monday,RP
301,2019-10-29,130775.0,16.47231832,15781.89536,16.47231832,Tuesday,RP
302,2019-10-30,204677.0,8237.154058,17755.87848,8237.154058,Wednesday,RP
303,2019-10-31,122000.0,6834.584605,7401.882837,6834.584605,Thursday,RP
304,2019-11-01,200558.0,19009.446035,19982.4251,19009.446035,Friday,RP
305,2019-11-02,177351.0,12859.084445,15711.00034,12859.084445,Saturday,RP
306,2019-11-03,46998.0,160.784862,,160.784862,Sunday,RP
307,2019-11-04,189332.0,17092.126445,17089.02223,17092.126445,Monday,RP
308,2019-11-05,201535.0,16731.99739,18568.9557,16731.99739,Tuesday,RP
309,2019-11-06,146004.0,7130.689536,9204.167089,7130.689536,Wednesday,RP
310,2019-11-07,100467.0,5391.6688755,8384.443459,5391.6688755,Thursday,RP
311,2019-11-08,193408.0,17432.337935,18656.46674,17432.337935,Friday,RP
312,2019-11-09,153177.0,9924.908983,12552.84889,9924.908983,Saturday,RP
313,2019-11-10,40076.0,747.4621795,,747.4621795,Sunday,RP
314,2019-11-11,187590.0,15692.5091,16884.09132,15692.5091,Monday,RP
315,2019-11-12,141344.0,7285.256984,8180.620286,7285.256984,Tuesday,RP
316,2019-11-13,198947.0,15756.791415,17404.7266,15756.791415,Wednesday,RP
317,2019-11-14,121463.0,5749.579752,7714.264004,5749.579752,Thursday,RP
318,2019-11-15,140724.0,9503.3870005,8500.755595,9503.3870005,Friday,RP
319,2019-11-16,206257.0,19219.920175,23065.25059,19219.920175,Saturday,RP
320,2019-11-17,45816.0,540.4885328,,540.4885328,Sunday,RP
321,2019-11-18,201423.0,18099.370175,18828.16561,18099.370175,Monday,RP
322,2019-11-19,191064.0,15747.315895,17147.73216,15747.315895,Tuesday,RP
323,2019-11-20,140097.0,9671.1578175,10537.87959,9671.1578175,Wednesday,RP
324,2019-11-21,208861.0,18884.41508,21301.73705,18884.41508,Thursday,RP
325,2019-11-22,191643.0,14594.46108,16836.45873,14594.46108,Friday,RP
326,2019-11-23,187841.0,15388.24736,22866.96609,15388.24736,Saturday,RP
327,2019-11-24,40076.0,5660.544226,,5660.544226,Sunday,RP
328,2019-11-25,187590.0,16891.65494,18313.069,16891.65494,Monday,RP
329,2019-11-26,141344.0,8657.7429495,8805.38262,8657.7429495,Tuesday,RP
330,2019-11-27,198947.0,14586.994885,16686.91455,14586.994885,Wednesday,RP
331,2019-11-28,121463.0,6123.0101565,6920.826318,6123.0101565,Thursday,RP
332,2019-11-29,140724.0,17190.159375,19132.02012,17190.159375,Friday,RP
333,2019-11-30,206257.0,16186.060605,21859.4167,16186.060605,Saturday,RP
334,2019-12-01,45816.0,984.0874549,,984.0874549,Sunday,RP
335,2019-12-02,179006.0,14482.634924999998,15903.29769,14482.634924999998,Monday,RP
336,2019-12-03,174564.0,12351.11376,14017.57661,12351.11376,Tuesday,RP
337,2019-12-04,140559.0,4820.9234400000005,4479.737387,4820.9234400000005,Wednesday,RP
338,2019-12-05,195992.0,16083.369035,18492.71468,16083.369035,Thursday,RP
339,2019-12-06,194425.0,14749.69106,16884.10262,14749.69106,Friday,RP
340,2019-12-07,196906.0,16153.72062,20238.15651,16153.72062,Saturday,RP
341,2019-12-08,43162.0,202.69171245,0.0,202.69171245,Sunday,RP
342,2019-12-09,169946.0,12070.506785,13916.39158,12070.506785,Monday,RP
343,2019-12-10,124530.0,6337.718628,7442.849104,6337.718628,Tuesday,RP
344,2019-12-11,146490.0,9998.9144295,11378.71694,9998.9144295,Wednesday,RP
345,2019-12-12,196052.0,15016.07642,18678.98713,15016.07642,Thursday,RP
346,2019-12-13,202712.0,16135.91455,20260.00328,16135.91455,Friday,RP
347,2019-12-14,196682.0,16213.20952,19979.44477,16213.20952,Saturday,RP
348,2019-12-15,42652.0,36.000600815,,36.000600815,Sunday,RP
349,2019-12-16,52706.0,833.9028306499999,,833.9028306499999,Monday,RP
350,2019-12-17,202923.0,16351.47153,17718.87914,16351.47153,Tuesday,RP
351,2019-12-18,196815.0,15458.77355,17987.93934,15458.77355,Wednesday,RP
352,2019-12-19,88282.0,3697.407953,3274.715626,3697.407953,Thursday,RP
353,2019-12-20,208090.0,20018.31314,22404.43609,20018.31314,Friday,RP
354,2019-12-21,197703.0,16845.1112,21152.2713,16845.1112,Saturday,RP
355,2019-12-22,51789.0,419.5681218,,419.5681218,Sunday,RP
356,2019-12-23,187739.0,16995.936515,17904.00176,16995.936515,Monday,RP
357,2019-12-24,148353.0,10445.573325,13640.4324,10445.573325,Tuesday,RP
358,2019-12-25,36577.0,36.000600815,,36.000600815,Wednesday,RP
359,2019-12-26,148381.0,13542.28656,14302.73444,13542.28656,Thursday,RP
360,2019-12-27,151016.0,12211.61923,12989.62866,12211.61923,Friday,RP
361,2019-12-28,199539.0,14542.861395,18536.40822,14542.861395,Saturday,RP
362,2019-12-29,45106.0,557.31921605,,557.31921605,Sunday,RP
363,2019-12-30,191406.0,17027.564165,18196.05856,17027.564165,Monday,RP
364,2019-12-31,155632.0,4106.905595,6402.253022,4106.905595,Tuesday,RP
365,2020-01-01,196815.0,36.000600815,,36.000600815,Wednesday,RP
366,2020-01-02,88282.0,35.996795725,,35.996795725,Thursday,RP
367,2020-01-03,208090.0,5184.4730855,,5184.4730855,Friday,RP
368,2020-01-04,197703.0,6337.0061925,,6337.0061925,Saturday,RP
369,2020-01-05,51789.0,412.32409765,,412.32409765,Sunday,RP
370,2020-01-06,187739.0,10434.545095,,10434.545095,Monday,RP
371,2020-01-07,197263.0,14131.77892,,14131.77892,Tuesday,RP
372,2020-01-08,117699.0,5994.702152,,5994.702152,Wednesday,RP
373,2020-01-09,86884.0,4893.232728,,4893.232728,Thursday,RP
374,2020-01-10,179148.0,13881.90096,,13881.90096,Friday,RP
375,2020-01-11,113197.0,7867.2102385,,7867.2102385,Saturday,RP
376,2020-01-12,33493.0,974.8586134,,974.8586134,Sunday,RP
377,2020-01-13,194561.0,18135.63552,,18135.63552,Monday,RP
378,2020-01-14,191515.0,15716.26378,,15716.26378,Tuesday,RP
379,2020-01-15,205528.0,18075.233480000003,,18075.233480000003,Wednesday,RP
380,2020-01-16,150092.0,7415.0411115,,7415.0411115,Thursday,RP
381,2020-01-17,204579.0,18612.87477,,18612.87477,Friday,RP
382,2020-01-18,145176.0,9977.110131,,9977.110131,Saturday,RP
383,2020-01-19,36217.0,42.16780568005901,,42.16780568005901,Sunday,RP
384,2020-01-20,194585.0,17686.06804,,17686.06804,Monday,RP
385,2020-01-21,200222.0,18061.04675,,18061.04675,Tuesday,RP
386,2020-01-22,207948.0,16710.96542,,16710.96542,Wednesday,RP
387,2020-01-23,138099.0,9009.634383,,9009.634383,Thursday,RP
388,2020-01-24,171434.0,11628.34133,,11628.34133,Friday,RP
389,2020-01-25,194566.0,16693.97279,,16693.97279,Saturday,RP
390,2020-01-26,96059.0,5216.328648,,5216.328648,Sunday,RP
391,2020-01-27,141280.0,8491.57327,,8491.57327,Monday,RP
392,2020-01-28,113136.0,6014.7975575,,6014.7975575,Tuesday,RP
393,2020-01-29,191571.0,15801.085725,,15801.085725,Wednesday,RP
394,2020-01-30,122007.0,7829.4066195,,7829.4066195,Thursday,RP
395,2020-01-31,204353.0,18380.070815,,18380.070815,Friday,RP
396,2020-02-01,100048.0,4704.7111475,,4704.7111475,Saturday,RP
397,2020-02-02,33954.0,985.06016,,985.06016,Sunday,RP
398,2020-02-03,195541.0,18820.37916,,18820.37916,Monday,RP
399,2020-02-04,206349.0,17624.764375,,17624.764375,Tuesday,RP
400,2020-02-05,196744.0,14787.153794999998,,14787.153794999998,Wednesday,RP
401,2020-02-06,164359.0,12095.694675,,12095.694675,Thursday,RP
402,2020-02-07,119813.0,5626.920959,,5626.920959,Friday,RP
403,2020-02-08,194841.0,15350.227725,,15350.227725,Saturday,RP
404,2020-02-09,45689.0,511.8401037,,511.8401037,Sunday,RP
405,2020-02-10,176652.0,13182.58526,,13182.58526,Monday,RP
406,2020-02-11,201747.0,17371.22265,,17371.22265,Tuesday,RP
407,2020-02-12,192174.0,14728.687385,,14728.687385,Wednesday,RP
408,2020-02-13,120874.0,5835.560794999999,,5835.560794999999,Thursday,RP
409,2020-02-14,178879.0,13392.421245,,13392.421245,Friday,RP
410,2020-02-15,199992.0,13956.68149,,13956.68149,Saturday,RP
411,2020-02-16,45560.0,890.22656665,,890.22656665,Sunday,RP
412,2020-02-17,182582.0,14214.112715,,14214.112715,Monday,RP
413,2020-02-18,150894.0,6999.7800145,,6999.7800145,Tuesday,RP
414,2020-02-19,105485.0,3028.7148555000003,,3028.7148555000003,Wednesday,RP
415,2020-02-20,84012.0,3948.7713235,,3948.7713235,Thursday,RP
416,2020-02-21,199139.0,17857.493835,,17857.493835,Friday,RP
417,2020-02-22,202485.0,15754.18257,,15754.18257,Saturday,RP
418,2020-02-23,46057.0,899.7834468,,899.7834468,Sunday,RP
419,2020-02-24,192906.0,19858.961765,,19858.961765,Monday,RP
420,2020-02-25,198222.0,16200.987255,,16200.987255,Tuesday,RP
421,2020-02-26,213568.0,19431.04817,,19431.04817,Wednesday,RP
422,2020-02-27,133687.0,8499.4234175,,8499.4234175,Thursday,RP
423,2020-02-28,193450.0,17513.786585,,17513.786585,Friday,RP
424,2020-02-29,112474.0,5483.608806,,5483.608806,Saturday,RP
425,2020-03-01,41986.0,1338.697094,,1338.697094,Sunday,RP
426,2020-03-02,212631.0,20106.715505,,20106.715505,Monday,RP
427,2020-03-03,192621.0,15202.999875,,15202.999875,Tuesday,RP
428,2020-03-04,209918.0,20791.52511,,20791.52511,Wednesday,RP
429,2020-03-05,114783.0,5053.738664,,5053.738664,Thursday,RP
430,2020-03-06,207316.0,18763.43086,,18763.43086,Friday,RP
431,2020-03-07,186855.0,14172.56263,,14172.56263,Saturday,RP
432,2020-03-08,45438.0,901.1127855,,901.1127855,Sunday,RP
433,2020-03-09,194840.0,16842.56469,,16842.56469,Monday,RP
434,2020-03-10,209681.0,17063.851815,,17063.851815,Tuesday,RP
435,2020-03-11,70688.0,154.1664998,,154.1664998,Wednesday,RP
436,2020-03-12,68576.0,114.65542595,,114.65542595,Thursday,RP
437,2020-03-13,185909.0,10244.785309,,10244.785309,Friday,RP
438,2020-03-14,201408.0,19503.9112,,19503.9112,Saturday,RP
439,2020-03-15,43626.0,8099.3526145,,8099.3526145,Sunday,RP
440,2020-03-16,202685.0,11617.600125,,11617.600125,Monday,RP
441,2020-03-17,205145.0,16546.83257,,16546.83257,Tuesday,RP
442,2020-03-18,178075.0,14020.377705,,14020.377705,Wednesday,RP
443,2020-03-19,125913.0,6154.6616675000005,,6154.6616675000005,Thursday,RP
444,2020-03-20,186078.0,17648.153554999997,,17648.153554999997,Friday,RP
445,2020-03-21,124274.0,24335.99927,,24335.99927,Saturday,RP
446,2020-03-22,45438.0,24335.99927,,24335.99927,Sunday,RP
447,2020-03-23,194840.0,15624.574285,,15624.574285,Monday,RP
448,2020-03-24,209681.0,17883.967045,,17883.967045,Tuesday,RP
449,2020-03-25,70688.0,17523.801515,,17523.801515,Wednesday,RP
450,2020-03-26,68576.0,5089.0499145,,5089.0499145,Thursday,RP
451,2020-03-27,185909.0,32.829864377,,32.829864377,Friday,RP
452,2020-03-28,115031.0,29.7028566915,,29.7028566915,Saturday,RP
453,2020-03-29,27089.0,31.359236095,,31.359236095,Sunday,RP
454,2020-03-30,30676.0,25.52940126,,25.52940126,Monday,RP
455,2020-03-31,112482.0,9268.7101965,,9268.7101965,Tuesday,RP
456,2020-04-01,200818.0,19009.526285,,19009.526285,Wednesday,RP
457,2020-04-02,189545.0,15358.924195,,15358.924195,Thursday,RP
458,2020-04-03,102110.0,4010.9823265,,4010.9823265,Friday,RP
459,2020-04-04,46747.0,26.26621044,,26.26621044,Saturday,RP
460,2020-04-05,35671.0,31.4366985,,31.4366985,Sunday,RP
461,2020-04-06,40228.0,32.350014956,,32.350014956,Monday,RP
462,2020-04-07,139120.0,12713.90838,,12713.90838,Tuesday,RP
463,2020-04-08,209909.0,19422.54367,,19422.54367,Wednesday,RP
464,2020-04-09,200437.0,19613.528065,,19613.528065,Thursday,RP
465,2020-04-10,145367.0,10171.50328,,10171.50328,Friday,RP
466,2020-04-11,45764.0,31.77398638,,31.77398638,Saturday,RP
467,2020-04-12,39956.0,32.718524045,,32.718524045,Sunday,RP
468,2020-04-13,41960.0,34.99928891,,34.99928891,Monday,RP
469,2020-04-14,139174.0,12034.75506,,12034.75506,Tuesday,RP
470,2020-04-15,153560.0,10264.979095,,10264.979095,Wednesday,RP
471,2020-04-16,61293.0,35.124919535,,35.124919535,Thursday,RP
472,2020-04-17,51926.0,35.5479937335,,35.5479937335,Friday,RP
473,2020-04-18,46470.0,35.962551320500005,,35.962551320500005,Saturday,RP
474,2020-04-19,42856.0,35.996998785,,35.996998785,Sunday,RP
475,2020-04-20,48502.0,35.92163553,,35.92163553,Monday,RP
476,2020-04-21,128468.0,9285.5341845,,9285.5341845,Tuesday,RP
477,2020-04-22,197770.0,16802.134015,,16802.134015,Wednesday,RP
478,2020-04-23,177437.0,13712.20159,,13712.20159,Thursday,RP
479,2020-04-24,89904.0,2972.207015,,2972.207015,Friday,RP
480,2020-04-25,49929.0,342.7838929,,342.7838929,Saturday,RP
481,2020-04-26,38224.0,35.9651819750058,,35.9651819750058,Sunday,RP
482,2020-04-27,133992.0,10643.21372,,10643.21372,Monday,RP
483,2020-04-28,199288.0,16067.97845,,16067.97845,Tuesday,RP
484,2020-04-29,152918.0,10100.64278,,10100.64278,Wednesday,RP
485,2020-04-30,194904.0,14770.774565,,14770.774565,Thursday,RP
486,2020-05-01,52657.0,35.57015224,,35.57015224,Friday,RP
487,2020-05-02,47279.0,35.849103685,,35.849103685,Saturday,RP
488,2020-05-03,40992.0,35.281969365,,35.281969365,Sunday,RP
489,2020-05-04,150217.0,12508.660115,,12508.660115,Monday,RP
490,2020-05-05,210275.0,18304.72126,,18304.72126,Tuesday,RP
491,2020-05-06,216344.0,19283.658165,,19283.658165,Wednesday,RP
492,2020-05-07,152133.0,9842.6275765,,9842.6275765,Thursday,RP
